word,count
t,64
donner,12
chasse,7
bâtons,5
mendiants,1
flatter,1
ceux,31
logis,20
complaire,1
moyennant,3
salaire,8
force,17
reliefs,2
façons,2
poulets,4
pigeons,3
parler,6
mainte,12
caresse,3
déjà,13
forge,1
félicité,2
tendresse,2
chemin,16
pelé,2
chose,47
collier,2
attaché,4
courez,2
voulez,8
repas,9
aucune,4
sorte,19
voudrais,7
prix,14
trésor,15
cela,39
enfuit,6
génisse,5
chèvre,10
brebis,13
société,3
lion,68
fier,4
seigneur,16
voisinage,5
firent,14
jadis,8
mirent,3
commun,11
gain,4
dommage,2
lacs,6
cerf,22
pris,31
associés,2
envoie,4
eux,45
ongles,2
compta,1
sommes,12
partager,2
autant,18
parts,5
dépeça,1
première,6
qualité,4
doit,11
raison,32
appelle,6
dire,45
seconde,4
droit,20
échoir,1
vaillant,3
prétends,3
troisième,10
quelqu,20
touche,2
quatrième,2
étranglerai,1
abord,21
besace,1
jupiter,31
respire,3
vienne,6
comparaître,2
grandeur,6
composé,1
trouve,19
redire,1
déclarer,1
mettrai,1
remède,4
venez,7
singe,16
parlez,4
animaux,26
comparaison,1
leurs,50
beautés,3
vôtres,2
satisfait,1
pourquoi,11
non,50
portrait,2
ici,28
reproché,1
ours,30
ébauché,1
croire,7
peindre,4
dessus,19
crut,17
allait,20
plaindre,8
forme,4
loua,3
très,14
glosa,1
ôter,3
oreilles,12
masse,2
informe,1
beauté,6
étant,42
écouté,1
13,3
sage,30
choses,6
pareilles,6
jugea,3
appétit,7
dame,10
baleine,1
ciron,1
croyant,3
colosse,2
jupin,4
renvoya,2
censurés,1
reste,9
contents,2
parmi,14
fous,8
espèce,8
excella,1
lynx,1
taupes,1
pardonnons,1
hommes,19
voit,28
œil,9
prochain,1
fabricateur,1
souverain,1
créa,2
besaciers,1
manière,11
passé,12
aujourd,11
hui,11
défauts,3
poche,1
derrière,1
autrui,8
14,2
hirondelle,9
oiseaux,7
voyages,2
appris,2
quiconque,4
vu,15
retenu,2
prévoyait,1
moindres,5
orages,2
fussent,2
éclos,1
annonçait,1
arriva,7
chanvre,2
sème,1
manant,7
couvrir,1
maints,4
sillons,2
ceci,22
plaît,12
oisillons,4
plains,6
péril,2
extrême,12
saurai,3
éloigner,1
vivre,12
airs,6
chemine,3
viendra,5
loin,25
répand,2
ruine,3
naîtront,1
engins,1
envelopper,1
lacets,1
attraper,5
enfin,44
machine,8
causera,2
mort,56
prison,1
15,3
gare,1
cage,2
chaudron,1
mangez,1
croyez,8
moquèrent,1
trouvaient,1
champs,9
chènevière,1
arrachez,1
brin,4
produit,3
mauvais,10
soyez,9
sûrs,2
perte,6
prophète,3
malheur,6
babillarde,1
donnes,1
faudrait,4
mille,17
personnes,6
éplucher,1
canton,3
crue,2
ajouta,3
mauvaise,4
graine,1
tôt,6
dès,20
verrez,2
terre,23
blés,6
occupés,2
feront,3
guerre,22
16,2
reginglettes,1
réseaux,1
attraperont,1
volez,1
place,11
demeurez,3
changez,1
climat,3
imitez,2
canard,1
grue,2
bécasse,1
état,11
déserts,2
ondes,4
ni,55
aller,17
mondes,3
parti,4
sûr,7
enfermer,1
trous,5
las,3
jaser,1
confusément,1
troyens,3
cassandre,1
ouvrait,1
seulement,8
uns,2
maint,12
oisillon,1
esclave,3
écoutons,1
instincts,1
nôtres,4
croyons,1
venu,4
17,2
rat,47
ville,13
autrefois,11
villes,2
invita,3
façon,11
civile,1
ortolans,1
turquie,1
couvert,6
penser,6
vie,43
régal,2
honnête,4
manquait,1
festin,6
troubla,1
fête,6
pendant,12
étaient,28
salle,1
entendirent,1
détale,2
18,2
cesse,9
rats,16
campagne,9
citadin,1
achevons,1
rôt,2
rustique,2
viendrez,3
pique,11
festins,2
interrompre,2
mange,4
loisir,2
adieu,21
fi,1
crainte,7
corrompre,1
19,2
meilleure,3
heure,16
désaltérait,1
courant,3
onde,8
pure,2
survient,5
jeun,2
cherchait,5
aventure,19
lieux,19
attirait,1
rend,10
hardi,3
troubler,2
breuvage,2
cet,57
rage,5
seras,1
châtié,1
témérité,1
répond,2
mette,2
plutôt,12
considère,1
désaltérant,1
vingt,7
dessous,4
conséquent,1
boisson,1
troubles,1
cruelle,5
sais,23
médis,1
an,10
aurais,7
né,1
tette,1
épargnez,1
guère,7
bergers,4
venge,1
forêts,8
emporte,8
procès,4
21,2
homme,86
image,12
duc,1
rochefoucauld,1
aimait,5
rivaux,2
passait,4
esprit,22
accusait,1
miroirs,8
faux,5
content,10
erreur,13
profonde,3
afin,12
guérir,3
officieux,1
présentait,1
partout,15
conseillers,2
muets,2
servent,3
dames,2
marchands,4
galants,1
ceintures,1
femmes,9
narcisse,1
